xgrid,tau,discount,yield
  5.0000000000000000E-01,  5.0000000000000000E-01,  1.2593028336667542E+00, -4.6111652243821416E-01
  5.0000000000000000E-01,  1.0000000000000000E+00,  1.0557531780160636E+00, -5.4254425024935451E-02
  5.0000000000000000E-01,  2.0000000000000000E+00,  1.0211045888646815E+00, -1.0442485804842749E-02
  5.0000000000000000E-01,  3.0000000000000000E+00,  1.0079531944076283E+00, -2.6405781505544749E-03
  5.0000000000000000E-01,  4.0000000000000000E+00,  9.7032231953577630E-01,  7.5317436247466707E-03
  5.0000000000000000E-01,  5.0000000000000000E+00,  9.0584738045967539E-01,  1.9776888273587097E-02
  5.0000000000000000E-01,  7.0000000000000000E+00,  7.8913044973605029E-01,  3.3831948038432182E-02
