serial,discount
2456795,0.99987359931248698
2456826,0.99967426447154073
2456856,0.99942223123195195
2456948,0.99836229481127725
2457040,0.99584270249579621
2457130,0.99485074924351613
2457315,0.9881570606836968
2457497,0.98161586781913401
2457679,0.97090032376507585
2457861,0.96030175304869314
2458044,0.94668544073059102
2458226,0.93333502824821546
2458409,0.9181407179438883
2458591,0.90327477725933258
2458774,0.88725707683746946
2458957,0.87152341703454617
2459142,0.85523487847088331
2459324,0.83950757194719527
2459506,0.82317252575082456
2459688,0.80715532509051957
2459870,0.79135685409871592
2460052,0.77586760696745039
2460235,0.75589295857388261
2460418,0.73643255587747325
2460601,0.72010576679314675
2460783,0.70422721485149598
2460966,0.68861442164652475
2461148,0.67343026347684765
2461333,0.65889091295014302
2461515,0.64489368176770256
2461697,0.63119380250941681
2461879,0.61778495834264791
2462062,0.60458963241005537
2462244,0.59174595724467793
2462427,0.58069260421030167
2462609,0.56990443774960708
2462792,0.55925906726725572
2462974,0.54886909524317984
2463157,0.53861664855536451
2463342,0.52844679857897225
2463524,0.51862926002697973
2463706,0.50899411270808748
2463888,0.49953796813935142
2464070,0.49025750078941127
2464253,0.4815523559613083
2464435,0.47304809145126214
2464618,0.46464852155154357
2464801,0.45639809668755549
2464984,0.44829416859968468
2465166,0.44037724712502685
2465351,0.43247310255884858
2465533,0.42483558275002442
2465715,0.41733294233250789
2465897,0.40996279932226876
2466079,0.40272281380136954
2466262,0.39557195855881294
2466445,0.3885480758366805
2466627,0.38168627655176363
2466810,0.37490895175625788
2466992,0.36828802081604067
2467175,0.36174859907440993
2467357,0.35536008132637276
2467542,0.34898187383679741
2467724,0.34281881777948636
